Order ID,Customer ID,Product Category,Product Name,Order Date,Price,Quantity,City,Country,Revenue
100001,1281,Electronics,Product 1,2023-06-24 00:00:00.000000,180.55283888492616,7.0,Tokyo,Russia,1263.8698721944832
100002,1215,Books,Product 2,2023-11-26 00:00:00.000000,52.50086495489024,7.0,Sydney,USA,367.5060546842317
100003,1178,Sports & Outdoors,Product 3,2023-10-18 00:00:00.000000,355.98791828759084,1.0,London,UK,355.98791828759084
100004,1035,Books,Product 4,2023-10-17 00:00:00.000000,409.69915960378034,7.0,London,India,2867.894117226462
100005,1333,Toys,Product 5,2023-01-15 00:00:00.000000,37915.38920397191,9.0,Moscow,Germany,341238.50283574715
100006,1286,Home & Kitchen,Product 6,2023-01-31 00:00:00.000000,36373.669098664934,1.0,New York,Germany,36373.669098664934
100007,1151,Beauty,Product 7,2023-07-24 00:00:00.000000,92.22555710020139,2.0,Sydney,France,184.45111420040277
100008,1427,Beauty,Prodpct 8,2023-10-18 00:00:00.000000,354.235161067025,5.0,London,Germany,1771.175805335125
100009,1145,Clothing,Product 9,2023-01-27 00:00:00.000000,72.49033375056658,7.0,Toronto,USA,507.432336253966
100010,1350,Books,Product 10,2023-01-02 00:00:00.000000,335.18771399088246,1.0,Paris,USA,335.18771399088246
100011,1015,Toys,Product r1,2023-05-19 00:00:00.000000,42.51332360872359,7.0,São Paulo,USA,297.59326526106514
100012,1003,Electronics,Product 12,2023-07-17 00:00:00.000000,179.27253742448642,4.0,Tokyo,UK,717.0901496979457
100013,1074,Sports & Outdoors,Product 13,2023-04-16 00:00:00.000000,469.36625840124685,,Tokyo,Japan,
100014,1325,Clothing,Product 14,2023-05-02 00:00:00.000000,32115.783193290117,9.0,Mumbai,Australia,289042.04873961105
100015,1162,Toys,Product 15,2023-06-24 00:00:00.000000,369.67325345473444,2.0,Toronto,Canada,739.3465069094689
100016,1184,Electronics,Product 16,2023-02-03 00:00:00.000000,152.31693307883822,4.0,Paris,Japan,609.2677323153529
100017,1422,Beauty,Product 17,2023-02-27 00:00:00.000000,207.89429438417173,2.0,São Paulo,Australia,415.78858876834346
100018,1394,Toys,Product 18,2023-12-31 00:00:00.000000,309.67105944896895,2.0,Moscow,USA,619.3421188979379
100019,1361,Beauty,Product 19,2023-12-24 00:00:00.000000,218.28401120575822,7.0,Berlin,Russia,1527.9880784403076
100020,1251,Clothing,Product 20,2023-09-05 00:00:00.000000,220.65979241172192,7.0,Mumbai,Russia,1544.6185468820536
100021,1207,Clothing,Product 21,2023-09-15 00:00:00.000000,439.1584796451543,4.0,Sydney,Japan,1756.633918580617
100022,1110,Electronics,Product 22,2023-12-26 00:00:00.000000,19.976101107791465,7.0,London,UK,139.83270775454025
100023,1332,Books,Product 23,2023-05-04 00:00:00.000000,475.6333293954759,5.0,London,Canada,2378.1666469773795
100024,1342,Clothing,Product 24,2023-08-15 00:00:00.000000,118.32316924993985,8.0,São Paulo,Japan,946.5853539995188
100025,1390,Home & Kitchen,Product 25,2023-08-24 00:00:00.000000,25.233530049710705,8.0,Mumbai,Germany,201.86824039768564
100026,1460,Books,Product 26,2023-05-22 00:00:00.000000,441.23073058874263,6.0,New York,UK,2647.384383532456
100027,1252,Electronics,Product 27,2023-01-17 00:00:00.000000,389.01652361586093,1.0,São Paulo,Canada,389.01652361586093
100028,1467,Books,Product 28,2023-04-16 00:00:00.000000,118.01882597306808,5.0,Paris,Canada,590.0941298653404
100029,1097,Home & Kitchen,Product 29,2023-05-30 00:00:00.000000,197.35897271751753,8.0,Moscow,Russia,1578.8717817401402
100030,1449,Sports & Outdoors,Product 30,2023-02-04 00:00:00.000000,436.7563818677672,1.0,Tokyo,Canada,436.7563818677672
100031,1168,Clothing,Product 31,2023-01-21 00:00:00.000000,47.0980482455874,9.0,Sydney,Russia,423.8824342102866
100032,1031,Electronics,Product 32,2023-12-07 00:00:00.000000,415.3912886674343,6.0,Tokyo,Japan,2492.347732004606
100033,1014,Toys,Product 33,2023-06-10 00:00:00.000000,71.86535746953203,3.0,New York,UK,215.5960724085961
100034,1403,Electronics,Product 34,2023-04-22 00:00:00.000000,242.7167283947302,6.0,Toronto,UK,1456.3003703683812
100035,1446,Clothing,Product 35,2023-11-16 00:00:00.000000,31.13902482627225,2.0,Moscow,UK,62.2780496525445
100036,1191,Beauty,Product 36,2023-02-05 00:00:00.000000,269.1984433512531,5.0,Sydney,India,1345.9922167562654
100037,1097,Home & Kitchen,Product 37,2023-05-06 00:00:00.000000,310.4293984922966,5.0,,Brazil,1552.146992461483
100038,1129,Home & Kitchen,Product 38,2023-06-18 00:00:00.000000,,8.0,Moscow,Russia,
100039,1106,Home & Kitchen,Product 39,2023-06-01 00:00:00.000000,,2.0,Sydney,Brazil,
100040,1396,Home & Kitchen,Product 40,2023-11-09 00:00:00.000000,407.4373253641339,5.0,Paris,UK,2037.1866268206695
100041,1234,Home & Kitchen,Product 41,2023-09-03 00:00:00.000000,295.8669178212448,,Berlin,Japan,
100042,1291,Electronics,Profuct 42,2023-12-25 00:00:00.000000,497.4093988358332,1.0,São Paulo,Japan,497.4093988358332
100043,1446,Books,Product 43,2023-06-07 00:00:00.000000,13.186375914301928,6.0,New York,Japan,79.11825548581157
100044,1180,Electronics,Product 44,2023-11-10 00:00:00.000000,151.62009488866065,,Toronto,,
100045,1155,Books,Product 45,2023-10-16 00:00:00.000000,298.6637492589652,5.0,Berlin,Germany,1493.318746294826
100046,1182,Toys,Product 46,2023-05-24 00:00:00.000000,13.145859796276419,3.0,Sydney,UK,39.437579388829256
100047,1429,Home & Kitchen,Product 47,2023-03-21 00:00:00.000000,417.09960000795184,1.0,Toronto,Brazil,417.09960000795184
100048,1179,Sports & Outdoors,Product 48,2023-11-19 00:00:00.000000,237.30953159546704,3.0,Moscow,India,711.9285947864012
100049,1461,Beauty,Product 49,2023-03-08 00:00:00.000000,407.7374429301935,2.0,São Paulo,USA,815.474885860387
100050,1136,Home & Kitchen,Product 50,2023-10-09 00:00:00.000000,332.5646144154853,9.0,,Japan,2993.081529739368
100051,1162,Sports & Outdoors,Product 51,2023-12-15 00:00:00.000000,100.37694475078345,1.0,São Paulo,France,100.37694475078345
100052,1038,Books,Product 52,2023-03-07 00:00:00.000000,172.2929279043722,,Sydney,Germany,
100053,1070,Beauty,Product 53,2023-11-14 00:00:00.000000,65.65910593055347,2.0,Mumbai,Germany,131.31821186110693
100054,1189,Books,Product 54,2023-06-11 00:00:00.000000,64.78909069831596,,Paris,Australia,
100055,1313,Sports & Outdoors,Product 55,2023-04-06 00:00:00.000000,333.63435349442,6.0,Sydney,Brazil,2001.80612096652
100056,1389,Electronics,Product 56,2023-06-23 00:00:00.000000,454.1456535357231,8.0,Moscow,Brazil,3633.165228285785
100057,1076,Electronics,Product d7,2023-08-19 00:00:00.000000,359.556712026581,1.0,Moscow,France,359.556712026581
100058,1426,Books,Product 58,2023-03-28 00:00:00.000000,201.47554069733792,9.0,Paris,Brazil,1813.2798662760413
100059,1148,Home & Kitchen,Product 59,2023-06-09 00:00:00.000000,195.9989789988218,7.0,São Paulo,Japan,1371.9928529917527
100060,1464,Electronics,Product 60,2023-02-20 00:00:00.000000,64.29713994939539,7.0,London,India,450.0799796457677
100061,1129,Clothing,Product 61,2023-10-26 00:00:00.000000,188.17425922593517,8.0,São Paulo,,1505.3940738074814
100062,1240,Electronics,Product 62,2023-03-29 00:00:00.000000,161.38719855227092,6.0,Moscow,Brazil,968.3231913136256
100063,1164,Home & Kitchen,Product 63,2023-02-16 00:00:00.000000,2790.3507929036964,5.0,London,France,13951.753964518482
100064,1153,Clothing,Product 64,2023-07-25 00:00:00.000000,185.63026164199,1.0,New York,France,185.63026164199
100065,1332,Clothing,Product 65,2023-12-30 00:00:00.000000,17.685509527785538,,Sydney,Germany,
100066,1486,Beauty,Product 66,2023-10-15 00:00:00.000000,346.9610806420494,5.0,Sydney,USA,1734.805403210247
100067,1254,Toys,Product 67,2023-05-14 00:00:00.000000,415.61381773241175,4.0,Mumbai,France,1662.455270929647
100068,1340,Home & Kitchen,Product 68,2023-07-29 00:00:00.000000,291.2582408010685,1.0,Moscow,Australia,291.2582408010685
100069,1204,Sports & Outdoors,Product 69,2023-06-18 00:00:00.000000,38132.69763609087,1.0,São Paulo,India,38132.69763609087
100070,1080,Electronics,Product 70,2023-12-20 00:00:00.000000,78.29112192474153,5.0,Berlin,Japan,391.4556096237077
100071,1483,Toys,Product 71,2023-12-25 00:00:00.000000,418.34676481650155,5.0,Mumbai,Australia,2091.733824082508
100072,1192,Sports & Outdoors,Product 72,2023-12-24 00:00:00.000000,81.82820211857224,4.0,Tokyo,Canada,327.31280847428894
